,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
75,1697,Basic Attention Token,BAT,basic-attention-token,332,2017-06-01T00:00:00.000Z,"['marketing', 'content-creation', 'defi', 'payments', 'dcg-portfolio', '1confirmation-portfolio', 'pantera-capital-portfolio', 'web3', 'bnb-chain']",1500000000.0,1495680554.4163349,1500000000.0,,76,,,,2022-10-10T14:32:00.000Z,0.2974124735504224,25579651.64117241,58.2897,-0.32537943,-1.64930096,-0.1925197,-14.93896391,-36.09774569,-20.43457698,444834053.3302293,0.0475,446118710.33,,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0d8775f648430679a709e98d2b0cb6250d2887ef,2022-10-10 14:34:42.627507
76,4847,Stacks,STX,stacks,61,2019-10-28T00:00:00.000Z,"['mineable', 'platform', 'collectibles-nfts', 'defi', 'smart-contracts', 'metaverse', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'dcg-portfolio', 'fabric-ventures-portfolio', 'hashkey-capital-portfolio', 'huobi-capital-portfolio', 'usv-portfolio', 'web3', 'injective-ecosystem']",1818000000.0,1338143505.701891,1352464600.0,,77,1048765672.087772,343646763.84536207,,2022-10-10T14:32:00.000Z,0.32766782227079033,9165509.11630097,-46.5419,-0.17260146,-2.47721263,2.76195772,-13.71398361,-34.90637427,-11.01517694,438466568.3991395,0.0467,595700100.89,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
77,4846,Kava,KAVA,kava,87,2019-10-25T00:00:00.000Z,"['cosmos-ecosystem', 'defi', 'binance-launchpad', 'binance-labs-portfolio', 'lending-borowing', 'arrington-xrp-capital-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'injective-ecosystem']",,280385904.0,282870502.0,,78,291026469.0,449567285.5425305,2.57114107,2022-10-10T14:32:00.000Z,1.5447642514692725,8127095.23062929,0.6817,0.44298747,0.36137666,2.74325966,-10.21246418,-33.19540952,-7.44560347,433130121.1150953,0.0462,436968239.28,168458326.27847,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0C356B7fD36a5357E5A017EF11887ba100C9AB76,2022-10-10 14:34:42.627507
78,8000,Lido DAO,LDO,lido-dao,105,2020-12-15T00:00:00.000Z,"['defi', 'dao', 'three-arrows-capital-portfolio', 'paradigm-portfolio']",1000000000.0,312951153.95865756,1000000000.0,,79,677547791.2315878,935564242.9242685,0.07085465,2022-10-10T14:32:00.000Z,1.3808092285618416,17033802.8675897,75.7149,-0.55086718,-6.29071222,-8.09991912,-31.44430579,-50.62781563,122.12778241,432125841.47519207,0.0461,1380809228.56,6098764810.35494,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5a98fcbea516cf06857215779fd812ca3bef1b32,2022-10-10 14:34:42.627507
79,5692,Compound,COMP,compound,295,2020-06-16T00:00:00.000Z,"['defi', 'dao', 'yield-farming', 'polkadot-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'lending-borowing', 'dragonfly-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'paradigm-portfolio', 'arbitrum-ecosytem', 'bnb-chain']",10000000.0,7267151.99852569,10000000.0,,80,,,0.19147366,2022-10-10T14:32:00.000Z,58.81206745681546,23078150.55560945,32.7124,-0.28155212,-0.03570097,-2.456127,10.4722631,-9.07639285,22.58904853,427396233.5562242,0.0456,588120674.57,2232141189.08656,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0xc00e94cb662c3520282e6f5717214004a7f26888,2022-10-10 14:34:42.627507
80,2469,Zilliqa,ZIL,zilliqa,220,2018-01-25T00:00:00.000Z,"['mineable', 'platform', 'payments', 'smart-contracts', 'polychain-capital-portfolio', 'metaverse', 'kenetic-capital-portfolio', 'zilliqa-ecosystem', 'bnb-chain']",21000000000.0,13394453300.203785,16685920453.203785,,81,,,,2022-10-10T14:32:00.000Z,0.03170272623533529,45632677.70543747,-9.4825,0.0244832,-2.75185571,1.61052984,-14.85624891,-31.39921846,-14.76916374,424640686.04834396,0.0453,665757250.94,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
81,8642,Fei USD,FEI,fei-usd,56,2021-03-02T00:00:00.000Z,"['defi', 'stablecoin', 'algorithmic-stablecoin']",,424996177.78890556,426116732.6917724,,82,,,87264526.62267213,2022-10-10T14:32:00.000Z,0.9860179404905206,1173829.39902798,312.806,0.52843081,0.12579893,0.62344419,-0.17106864,-0.91348261,-0.10790453,419053855.9397598,0.0447,420158743.18,4.80211,2022-10-10T14:32:00.000Z,1027.0,Ethereum,ETH,ethereum,0x956F47F50A910163D8BF957Cf5846D573E7f87CA,2022-10-10 14:34:42.627507
82,2577,Ravencoin,RVN,ravencoin,107,2018-03-10T00:00:00.000Z,"['mineable', 'pow', 'platform', 'crowdfunding']",21000000000.0,11757569155.796467,11757569155.796467,,83,,,,2022-10-10T14:32:00.000Z,0.035143623296559276,15791502.73982435,-0.6423,-0.24637167,-1.70746192,-1.18180928,-31.3645133,-12.98427025,61.1650936,413203581.2945555,0.0441,738016089.23,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
83,8646,Mina,MINA,mina,71,2021-03-02T00:00:00.000Z,"['pos', 'zero-knowledge-proofs', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio']",,702991746.8400393,824104972.0,,84,,,,2022-10-10T14:32:00.000Z,0.5832508915019518,6315511.73010723,9.4854,0.05886014,-0.94616757,-0.29994025,-13.76326606,-38.36277989,-11.86766696,410020563.06296724,0.0437,480659959.61,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
84,7129,TerraClassicUSD,USTC,terrausd,654,2020-09-21T00:00:00.000Z,"['cosmos-ecosystem', 'stablecoin', 'algorithmic-stablecoin', 'terra-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,9813748245.092024,10254324365.51106,,85,,,,2022-10-10T14:32:00.000Z,0.04165072447465129,190265625.42446277,1224.1152,2.38771306,38.30909752,31.89401168,-30.1031039,40.1985894,-4.89744459,408749724.2199205,0.0436,427100038.82,,2022-10-10T14:32:00.000Z,,,,,,2022-10-10 14:34:42.627507
